+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  2 |       NEW |     READY |
|                 0 |  5 |       NEW |     READY |
|                 0 |  8 |       NEW |     READY |
|                 0 |  2 |     READY |   RUNNING |
|                10 |  2 |   RUNNING |   WAITING |
|                10 |  5 |     READY |   RUNNING |
|                20 |  2 |   WAITING |     READY |
|                20 |  5 |   RUNNING |     READY |
|                20 |  2 |     READY |   RUNNING |
|                30 |  2 |   RUNNING |   WAITING |
|                30 |  5 |     READY |   RUNNING |
|                40 |  2 |   WAITING |     READY |
|                40 |  5 |   RUNNING |     READY |
|                40 |  2 |     READY |   RUNNING |
|                50 |  2 |   RUNNING |   WAITING |
|                50 |  5 |     READY |   RUNNING |
|                60 |  2 |   WAITING |     READY |
|                60 |  5 |   RUNNING |     READY |
|                60 |  2 |     READY |   RUNNING |
|                70 |  2 |   RUNNING |   WAITING |
|                70 |  5 |     READY |   RUNNING |
|                80 |  2 |   WAITING |     READY |
|                80 |  5 |   RUNNING |     READY |
|                80 |  2 |     READY |   RUNNING |
|                90 |  2 |   RUNNING |   WAITING |
|                90 |  5 |     READY |   RUNNING |
|               100 |  2 |   WAITING |     READY |
|               100 |  5 |   RUNNING |     READY |
|               100 |  2 |     READY |   RUNNING |
|               110 |  2 |   RUNNING |   WAITING |
|               110 |  5 |     READY |   RUNNING |
|               120 |  2 |   WAITING |     READY |
|               120 |  5 |   RUNNING |     READY |
|               120 |  2 |     READY |   RUNNING |
|               130 |  2 |   RUNNING |   WAITING |
|               130 |  5 |     READY |   RUNNING |
|               140 |  2 |   WAITING |     READY |
|               140 |  5 |   RUNNING |     READY |
|               140 |  2 |     READY |   RUNNING |
|               150 |  2 |   RUNNING |   WAITING |
|               150 |  5 |     READY |   RUNNING |
|               160 |  2 |   WAITING |     READY |
|               160 |  5 |   RUNNING |     READY |
|               160 |  2 |     READY |   RUNNING |
|               170 |  2 |   RUNNING |   WAITING |
|               170 |  5 |     READY |   RUNNING |
|               180 |  2 |   WAITING |     READY |
|               180 |  5 |   RUNNING |     READY |
|               180 |  2 |     READY |   RUNNING |
|               190 |  2 |   RUNNING |   WAITING |
|               190 |  5 |     READY |   RUNNING |
|               200 |  2 |   WAITING |     READY |
|               200 |  5 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               210 |  2 |   RUNNING |   WAITING |
|               210 |  5 |     READY |   RUNNING |
|               220 |  2 |   WAITING |     READY |
|               220 |  5 |   RUNNING |     READY |
|               220 |  2 |     READY |   RUNNING |
|               230 |  2 |   RUNNING |   WAITING |
|               230 |  5 |     READY |   RUNNING |
|               240 |  2 |   WAITING |     READY |
|               240 |  5 |   RUNNING |     READY |
|               240 |  2 |     READY |   RUNNING |
|               250 |  2 |   RUNNING |   WAITING |
|               250 |  5 |     READY |   RUNNING |
|               260 |  2 |   WAITING |     READY |
|               260 |  5 |   RUNNING |     READY |
|               260 |  2 |     READY |   RUNNING |
|               270 |  2 |   RUNNING |   WAITING |
|               270 |  5 |     READY |   RUNNING |
|               280 |  2 |   WAITING |     READY |
|               280 |  5 |   RUNNING |     READY |
|               280 |  2 |     READY |   RUNNING |
|               290 |  2 |   RUNNING |   WAITING |
|               290 |  5 |     READY |   RUNNING |
|               300 |  2 |   WAITING |     READY |
|               300 |  5 |   RUNNING |     READY |
|               300 |  2 |     READY |   RUNNING |
|               310 |  2 |   RUNNING |   WAITING |
|               310 |  5 |     READY |   RUNNING |
|               320 |  2 |   WAITING |     READY |
|               320 |  5 |   RUNNING |     READY |
|               320 |  2 |     READY |   RUNNING |
|               330 |  2 |   RUNNING |   WAITING |
|               330 |  5 |     READY |   RUNNING |
|               340 |  2 |   WAITING |     READY |
|               340 |  5 |   RUNNING |     READY |
|               340 |  2 |     READY |   RUNNING |
|               350 |  2 |   RUNNING |TERMINATED |
|               350 |  5 |     READY |   RUNNING |
|               360 |  5 |   RUNNING |TERMINATED |
|               360 |  8 |     READY |   RUNNING |
|               460 |  8 |   RUNNING |     READY |
|               460 |  8 |     READY |   RUNNING |
|               540 |  8 |   RUNNING |TERMINATED |
+------------------------------------------------+
